respondent_id,route,current_commute_min,willing_to_shift,preferred_departure_slot_evening,incentive_preference
362,Mindspace→Gachibowli,50,Maybe,6:45-7:15 PM,None
363,Mindspace→Kukatpally,45,Yes,6:45-7:15 PM,None
364,Mindspace→Gachibowli,45,No,5:15-5:45 PM,None
365,Mindspace→Kukatpally,35,Yes,6:15-6:45 PM,Yes - small (coffee/month)
366,Mindspace→Kukatpally,40,Yes,5:15-5:45 PM,None
367,Raidurg→Madhapur,35,Yes,6:45-7:15 PM,Yes - small (coffee/month)
368,Raidurg→Madhapur,20,Yes,6:15-6:45 PM,Yes - small (coffee/month)
369,Raidurg→Madhapur,60,No,7:45-8:15 PM,Yes - small (coffee/month)
370,Mindspace→Gachibowli,30,Yes,4:45-5:15 PM,Yes - transport stipend
371,Mindspace→Gachibowli,60,Maybe,4:45-5:15 PM,Yes - transport stipend
372,Madhapur→IKEA,35,Maybe,5:15-5:45 PM,Yes - small (coffee/month)
373,Mindspace→Gachibowli,30,No,5:15-5:45 PM,Yes - transport stipend
374,Mindspace→Gachibowli,40,Yes,5:15-5:45 PM,Yes - small (coffee/month)
375,Mindspace→Kukatpally,50,Yes,7:15-7:45 PM,Yes - small (coffee/month)
376,Mindspace→Kukatpally,45,Maybe,5:15-5:45 PM,Yes - transport stipend
377,Mindspace→Gachibowli,50,No,5:15-5:45 PM,None
378,Mindspace→Gachibowli,45,Yes,6:45-7:15 PM,None
379,Raidurg→Madhapur,45,Maybe,5:45-6:15 PM,Yes - transport stipend
380,Mindspace→Gachibowli,50,Maybe,6:45-7:15 PM,Yes - small (coffee/month)
381,Raidurg→Madhapur,30,Maybe,4:45-5:15 PM,Yes - transport stipend
382,Gachibowli→HITEC,40,No,5:45-6:15 PM,Yes - transport stipend
383,Gachibowli→HITEC,30,No,4:45-5:15 PM,None
384,Gachibowli→HITEC,60,Yes,4:45-5:15 PM,Yes - transport stipend
385,Other,60,Maybe,7:15-7:45 PM,Yes - small (coffee/month)
386,Mindspace→Kukatpally,20,Maybe,5:15-5:45 PM,Yes - small (coffee/month)
387,Mindspace→Kukatpally,45,Yes,6:15-6:45 PM,Yes - small (coffee/month)
388,Mindspace→Kukatpally,60,Yes,5:45-6:15 PM,Yes - transport stipend
389,Raidurg→Madhapur,30,Yes,5:45-6:15 PM,None
390,Madhapur→IKEA,40,Maybe,7:15-7:45 PM,Yes - small (coffee/month)
391,Mindspace→Kukatpally,60,Maybe,4:45-5:15 PM,Yes - small (coffee/month)
392,Madhapur→IKEA,20,Yes,6:15-6:45 PM,Yes - small (coffee/month)
393,Mindspace→Kukatpally,45,No,7:45-8:15 PM,Yes - small (coffee/month)
394,Madhapur→IKEA,35,Yes,6:15-6:45 PM,None
395,Mindspace→Gachibowli,60,Maybe,7:45-8:15 PM,None
396,Mindspace→Kukatpally,60,Maybe,4:45-5:15 PM,None
397,Mindspace→Gachibowli,60,Maybe,5:45-6:15 PM,Yes - transport stipend
398,Mindspace→Kukatpally,40,Yes,5:15-5:45 PM,None
399,Mindspace→Kukatpally,50,Yes,6:45-7:15 PM,None
400,Mindspace→Kukatpally,50,Yes,7:45-8:15 PM,Yes - transport stipend
401,Gachibowli→HITEC,35,Yes,5:15-5:45 PM,None
402,Mindspace→Gachibowli,50,Maybe,6:15-6:45 PM,Yes - transport stipend
403,Mindspace→Kukatpally,20,Maybe,5:15-5:45 PM,Yes - small (coffee/month)
404,Raidurg→Madhapur,40,Maybe,6:15-6:45 PM,Yes - transport stipend
405,Gachibowli→HITEC,30,Maybe,5:45-6:15 PM,None
406,Mindspace→Kukatpally,30,No,7:45-8:15 PM,None
407,Mindspace→Gachibowli,20,No,6:15-6:45 PM,Yes - small (coffee/month)
408,Mindspace→Kukatpally,45,Maybe,5:45-6:15 PM,Yes - transport stipend
409,Mindspace→Kukatpally,35,Maybe,4:45-5:15 PM,Yes - small (coffee/month)
410,Raidurg→Madhapur,45,Yes,5:15-5:45 PM,None
411,Mindspace→Kukatpally,20,Yes,5:15-5:45 PM,Yes - small (coffee/month)
412,Mindspace→Gachibowli,35,Yes,5:15-5:45 PM,Yes - small (coffee/month)
413,Gachibowli→HITEC,40,Maybe,7:15-7:45 PM,Yes - small (coffee/month)
414,Mindspace→Kukatpally,45,No,6:15-6:45 PM,Yes - small (coffee/month)
415,Raidurg→Madhapur,35,Yes,6:15-6:45 PM,Yes - transport stipend
416,Mindspace→Kukatpally,40,No,4:45-5:15 PM,Yes - small (coffee/month)
417,Other,50,No,7:15-7:45 PM,None
418,Mindspace→Gachibowli,40,Yes,6:45-7:15 PM,Yes - small (coffee/month)
419,Gachibowli→HITEC,30,Yes,4:45-5:15 PM,None
420,Raidurg→Madhapur,20,No,6:45-7:15 PM,Yes - small (coffee/month)
421,Mindspace→Kukatpally,50,Yes,6:15-6:45 PM,Yes - small (coffee/month)
422,Raidurg→Madhapur,20,No,4:45-5:15 PM,None
423,Other,50,Yes,5:45-6:15 PM,None
424,Raidurg→Madhapur,40,Maybe,5:45-6:15 PM,None
425,Gachibowli→HITEC,60,No,5:15-5:45 PM,Yes - transport stipend
426,Madhapur→IKEA,45,No,7:45-8:15 PM,Yes - transport stipend
427,Mindspace→Kukatpally,60,Maybe,7:15-7:45 PM,None
428,Mindspace→Kukatpally,35,Yes,6:15-6:45 PM,Yes - transport stipend
429,Raidurg→Madhapur,45,Yes,5:45-6:15 PM,Yes - small (coffee/month)
430,Mindspace→Gachibowli,35,Yes,5:45-6:15 PM,None
431,Gachibowli→HITEC,40,No,6:15-6:45 PM,None
432,Madhapur→IKEA,40,No,6:15-6:45 PM,Yes - small (coffee/month)
433,Mindspace→Gachibowli,50,No,4:45-5:15 PM,Yes - small (coffee/month)
434,Mindspace→Kukatpally,60,Yes,6:15-6:45 PM,Yes - small (coffee/month)
435,Gachibowli→HITEC,45,Yes,7:15-7:45 PM,None
436,Mindspace→Kukatpally,35,Yes,5:45-6:15 PM,None
437,Gachibowli→HITEC,35,Yes,4:45-5:15 PM,Yes - small (coffee/month)
438,Mindspace→Gachibowli,45,No,6:45-7:15 PM,None
439,Raidurg→Madhapur,30,Yes,5:15-5:45 PM,None
440,Mindspace→Kukatpally,30,Yes,5:15-5:45 PM,None
441,Raidurg→Madhapur,35,Maybe,5:15-5:45 PM,Yes - transport stipend
442,Mindspace→Gachibowli,35,Yes,5:45-6:15 PM,Yes - transport stipend
443,Raidurg→Madhapur,35,Yes,6:45-7:15 PM,Yes - small (coffee/month)
444,Mindspace→Kukatpally,30,No,6:15-6:45 PM,Yes - transport stipend
445,Gachibowli→HITEC,20,Yes,5:15-5:45 PM,None
446,Madhapur→IKEA,20,No,7:15-7:45 PM,Yes - small (coffee/month)
447,Mindspace→Kukatpally,60,Maybe,7:15-7:45 PM,None
448,Mindspace→Kukatpally,35,Maybe,7:15-7:45 PM,Yes - small (coffee/month)
449,Mindspace→Kukatpally,35,Yes,5:15-5:45 PM,Yes - transport stipend
450,Raidurg→Madhapur,45,Maybe,5:45-6:15 PM,Yes - small (coffee/month)
451,Raidurg→Madhapur,30,Yes,7:45-8:15 PM,None
452,Mindspace→Gachibowli,60,Yes,6:45-7:15 PM,Yes - small (coffee/month)
453,Mindspace→Kukatpally,45,Yes,4:45-5:15 PM,None
454,Mindspace→Gachibowli,20,Maybe,4:45-5:15 PM,Yes - transport stipend
455,Raidurg→Madhapur,35,Yes,5:45-6:15 PM,Yes - small (coffee/month)
456,Mindspace→Gachibowli,50,Yes,7:15-7:45 PM,Yes - small (coffee/month)
457,Other,60,No,6:15-6:45 PM,Yes - small (coffee/month)
458,Mindspace→Kukatpally,40,Yes,5:45-6:15 PM,Yes - small (coffee/month)
459,Raidurg→Madhapur,40,Yes,4:45-5:15 PM,None
460,Mindspace→Gachibowli,30,Yes,6:15-6:45 PM,Yes - small (coffee/month)
461,Mindspace→Gachibowli,60,Yes,7:15-7:45 PM,None
462,Gachibowli→HITEC,30,Yes,5:45-6:15 PM,Yes - small (coffee/month)
463,Raidurg→Madhapur,60,Yes,6:45-7:15 PM,Yes - transport stipend
464,Other,40,No,7:45-8:15 PM,Yes - transport stipend
465,Mindspace→Kukatpally,40,Yes,5:15-5:45 PM,Yes - small (coffee/month)
466,Mindspace→Kukatpally,40,Yes,6:15-6:45 PM,Yes - small (coffee/month)
467,Gachibowli→HITEC,30,Maybe,5:15-5:45 PM,None
468,Raidurg→Madhapur,30,Yes,6:45-7:15 PM,Yes - small (coffee/month)
469,Mindspace→Kukatpally,30,No,6:15-6:45 PM,None
470,Mindspace→Kukatpally,30,Yes,6:15-6:45 PM,Yes - small (coffee/month)
471,Mindspace→Kukatpally,45,Yes,6:45-7:15 PM,None
472,Madhapur→IKEA,35,Yes,5:45-6:15 PM,None
473,Mindspace→Kukatpally,20,Yes,7:15-7:45 PM,Yes - small (coffee/month)
474,Mindspace→Kukatpally,60,Yes,6:15-6:45 PM,None
475,Mindspace→Kukatpally,50,Yes,5:15-5:45 PM,Yes - small (coffee/month)
476,Mindspace→Gachibowli,60,Yes,6:45-7:15 PM,None
477,Mindspace→Kukatpally,60,Yes,6:45-7:15 PM,None
478,Mindspace→Gachibowli,30,Yes,5:45-6:15 PM,Yes - small (coffee/month)
479,Mindspace→Kukatpally,35,Yes,7:15-7:45 PM,None
480,Gachibowli→HITEC,45,Yes,7:15-7:45 PM,None
481,Mindspace→Kukatpally,45,Yes,5:15-5:45 PM,Yes - small (coffee/month)
482,Mindspace→Gachibowli,30,No,7:45-8:15 PM,None
483,Madhapur→IKEA,50,Yes,5:15-5:45 PM,Yes - transport stipend
484,Raidurg→Madhapur,30,No,5:15-5:45 PM,None
485,Mindspace→Gachibowli,30,No,5:15-5:45 PM,None
486,Mindspace→Kukatpally,40,Yes,7:15-7:45 PM,Yes - small (coffee/month)
487,Mindspace→Kukatpally,40,Maybe,6:15-6:45 PM,None
488,Raidurg→Madhapur,40,Maybe,5:15-5:45 PM,None
489,Other,20,Yes,5:45-6:15 PM,None
490,Raidurg→Madhapur,50,Yes,6:15-6:45 PM,None
491,Raidurg→Madhapur,35,Maybe,4:45-5:15 PM,Yes - transport stipend
492,Gachibowli→HITEC,30,No,7:15-7:45 PM,None
493,Mindspace→Gachibowli,50,Yes,7:15-7:45 PM,Yes - small (coffee/month)
494,Mindspace→Kukatpally,60,Yes,6:15-6:45 PM,Yes - transport stipend
495,Raidurg→Madhapur,50,Yes,7:45-8:15 PM,Yes - small (coffee/month)
496,Other,50,Yes,5:45-6:15 PM,Yes - transport stipend
497,Mindspace→Kukatpally,45,No,7:45-8:15 PM,None
498,Raidurg→Madhapur,40,Yes,6:15-6:45 PM,Yes - transport stipend
499,Mindspace→Kukatpally,20,Yes,6:15-6:45 PM,None
500,Mindspace→Gachibowli,35,No,5:15-5:45 PM,Yes - small (coffee/month)
